class_title,description,handout,handout_chinese,handout_spanish,handout_bengali,handout_french,handout_russian,additional_materials,prerequisite,level,series,format
Python Container Datatypes,"Python has four built-in collections—data structures that can contain multiple instances of more basic data forms. Explore how you can use sets, tuples, lists and dictionaries to store, analyze, and manipulate data in Python.",https://colab.research.google.com/drive/1psOp_TQwBZxTj0gaSMu1v83ghEBBQS-I,,,,,,,Fundamentals of Programming with Python Part 2,Intermediate,"python, programming",class
Python Workshop: Create a Quiz Game Using Classes and Objects,"Learn how to use classes and objects in Python to create a simple quiz game with the following features:
- Display questions in order, along with numbered answers.
- Let the user type in the number of their guess.
- Check whether the answer is correct and display the result.
- Display the user's final score at the end.",,,,,,,,Object Oriented Programming in Python Part 1: Fundamentals,Advanced,"python, programming, game development",workshop
Remix a Pop Song with Ableton Live,"Get started producing your own digital music with this introductory session on Ableton Live. In this session we will walk through one method of how you can remix a pop song into a different style or genre. This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Intermediate,"studio40, music production, ableton live, media production",class
Responsive Web Design - CSS Layout Modules: Advanced CSS Grids,"CSS Grid is a CSS layout module that allows you to define two-dimensional layouts based on a grid creation, an arrangement of columns and rows. Like flexbox, it is far superior to earlier methods to layout web pages but with some added advantages. Building off of Grid Basics, join us and learn how to and when to use advanced concepts in CSS Grid.",,,,,,,,Responsive Web Design - CSS Layout Modules: CSS Grid Basics,Advanced,"web development, frontend, css, programming",class
Responsive Web Design - CSS Layout Modules: CSS Grid Basics,"CSS Grid is a CSS layout module that allows you to define two-dimensional layouts based on a grid creation, an arrangement of columns and rows. Like flexbox, it is far superior to earlier methods to layout web pages but with some added advantages. Join us and learn how to and when to use CSS Grid.",,,,,,,,HTML & CSS Basics,Intermediate,"web development, frontend, css, programming",class
Responsive Web Design - CSS Layout Modules: Flexbox,Flexbox is a CSS layout module that offers a more efficient way of aligning and distributing space among items in a container. It allows for easy manipulation of layouts in responsive web design on all device mediums. Join us to learn the fundamentals of using flexbox to design custom web layouts.,,,,,,,,HTML & CSS Basics,Advanced,"web development, frontend, css, programming",class
Searching Besides Google,Learn how to search using various databases provided by NYPL,https://drive.google.com/file/d/0B7nLJDo_bokTbjhhY1lrb0M0Mlk/view,https://drive.google.com/file/d/0B7nLJDo_bokTMkhybEFPbU9wQzg/view,https://drive.google.com/file/d/0B7nLJDo_bokTY2ZrenE0REQtWTA/view,,https://drive.google.com/file/d/0B7nLJDo_bokTVWZIcVlGTlhPZkt5QkpDcE9SNmZCU2pjZzJJ/view,https://drive.google.com/file/d/0B7nLJDo_bokTeVhmR29palo3bVc3ajN0WkYyTl9NTTkzTWNV/view,,,Beginner,"google, computer basics",class
Songwriting & Audio Recording with Reaper,"Record your voice, guitar, or piano, connect a microphone, and edit audio from home using Reaper, a free, lightweight, powerful digital audio workstation. This class is perfect for singer songwriters, live musicians, podcasters, and anyone interested in understanding digital audio recording.
If you would like to follow along with the instructor, you can download Reaper for free. Downloading Reaper is completely optional to participate in this class and done at your own risk. Reaper is a third-party software, so be sure to review NYPL's privacy policy before downloading.",,,,,,,,,Intermediate,"studio40, music production, reaper, media production",class
studio40 Orientation 101 & 201,"Studio40 is a free public recording studio available for patrons of the New York Public Library. In this two-part course, you’ll learn more about Studio40 resources and how to get the most out of your recording sessions.  We’ll cover studio best practices, how to safely use the equipment available in our studio, and the practical skills you need to run a successful soundcheck and recording session at Studio40.  This two-part track is required for all new studio users.",,,,,,,,,Beginner,"studio40, media production",class
studio40 Workshop: All About Microphones,"Studio40 Workshops are deep dives into selected topics in production, with time for practice and questions.  Continue to develop your AV production skills in a practical setting where we can thoroughly explore the chosen workshop topic.

This month's workshop topic is All About Microphones.  We'll talk about mic types, their studio applications, and how to get the best sound out of your recording sessions using proper microphone technique.

This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Intermediate,"studio40, music production, media production",workshop
studio40 Workshop: Compression & Dynamics,"Studio40 Workshops are deep dives into selected topics in production, with time for practice and questions.  Continue to develop your AV production skills in a practical setting where we can thoroughly explore the chosen workshop topic.

Compression, Levelling, Gating, and other dynamics-based effects are critical parts of the post production process, and understanding how it works can help you add clarity, definition, and pop to your mix.  In this hands-on workshop, we'll talk about what compression is, and how to get the most out of your music by working with compression and other dynamics-based effects.  

This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Intermediate,"studio40, music production, media production",workshop
studio40 Workshop: Equalization (EQ),"Studio40 Workshops are deep dives into selected topics in production, with time for practice and questions. Continue to develop your AV production skills in a practical setting where we can thoroughly explore the chosen workshop topic.

EQ, also known as equalization, is a critical part of the post production process, and understanding how it works can help you add clarity, definition, and pop to your mix. In this hands-on workshop, we'll talk about what EQ is, and how to get the most out of your music (vocals, guitars, drums) by adjusting pitch with EQ filtering.  

This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Intermediate,"studio40, music production, media production",workshop
studio40 Workshop: Home Recording & Portable Setups,"Studio40 Workshops are deep dives into selected topics in production, with time for practice and questions. Continue to develop your AV production skills in a practical setting where we can thoroughly explore the chosen workshop topic.

We'll talk about practical considerations for making your own setup outside the studio and discuss equipment recommendations for different budgets. We'll also take an in-person look at some of the most popular mics and equipment used for personal recording, and compare their characteristics with some live tests.

This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Intermediate,"studio40, music production, media production",workshop
studio40 Workshop: How to Mic Guitars and Drums,"Studio40 Workshops are deep dives into selected topics in production, with time for practice and questions. Continue to develop your AV production skills in a practical setting where we can thoroughly explore the chosen workshop topic.

If you're a guitar player, a drummer, aspiring audio engineer, or just curious, we invite you to join us for this hands on session. We'll discuss standard mic setups and variations, and then we'll pull out the equipment and instruments to listen to and experiment with different configurations. 
This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Intermediate,"studio40, music production, media production",workshop
studio40 Workshop: Logic Session Breakdown,"Join us for the Logic Session Breakdowns, where we take a look inside fully produced Logic Pro sessions to discuss and understand how the components come together to create a finished song.

Using Logic sessions as our guide, we’ll build on basic music theory knowledge to understand how components like chords, rhythm, hooks, and lyrics construct meaningful and catchy compositions. We’ll also go track by track, examine the instrumentation and layering, and open up the session’s effects and plugins to figure out what production choices producers can use to create a track’s signature sound. 

This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Advanced,"studio40, music production, media production",workshop
"studio40 Workshop: Music Publishing, Distribution, & Streaming","Studio40 Workshops are deep dives into selected topics in production, with time for practice and questions. Continue to develop your AV production skills in a practical setting where we can thoroughly explore the chosen workshop topic.

We'll look at different options for publishing, maintaining rights to your songs, and collecting royalties. We'll compare ASCAP and BMI, discuss distributors, and take a look at how to get your songs onto different streaming platforms like SoundCloud, Bandcamp, Spotify, Apple Music, Amazon Music, Deezer, Pandora, and more.

This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Intermediate,"studio40, music production, media production",workshop
studio40 Workshop: Signal Flow and Troubleshooting Like an Audio Engineer,"Studio40 Workshops are deep dives into selected topics in production, with time for practice and questions.  Continue to develop your AV production skills in a practical setting where we can thoroughly explore the chosen workshop topic.
In the studio, audio engineers often need to troubleshoot in real time. In this hands-on workshop, we’ll take a deep dive into studio signal flow and learn some techniques for fast troubleshooting. We'll also take a look at analog mixing workflows in the studio and how to patch equipment into your signal chain.  
This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Advanced,"studio40, music production, media production",workshop
studio40 Workshop: Vocal Production,"Studio40 Workshops are deep dives into selected topics in production, with time for practice and questions. Continue to develop your AV production skills in a practical setting where we can thoroughly explore the chosen workshop topic.

There are many ways to produce and mix vocals, and we'll take a look at some techniques to maximize your vocal sound with processing, plugins, and effects. We'll experiment with pitch correction and restructuring, as well as other standard plugins like EQ, compression, reverb, chorus, and other processing to learn more about shaping your vocal sound.

This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,Intermediate,"studio40, music production, media production",workshop
Synthesizer Fundamentals with Ableton Live,"Learn the fundamentals of synthesizers and sound synthesis using the Drift instrument in Ableton Live. Learn about oscialltors, waveforms, ADSR envelopes, LFOs, and Filters. No prior knowledge of Ableton Live is required.
This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,https://drive.google.com/file/d/1R4xu5WHAXdJJVC8X4e4GYyTNrVyRCCgl/view,studio40 Orientation 101 & 201,Intermediate,"studio40, music production, ableton live, media production",workshop
Take Charge with MyChart: Medications,"Learn how you can use MyChart to access your medical information online in this hands-on telehealth class! Topics covered will include: updating your medications on file, requesting prescription refills, and viewing billing statements.
You do not need a MyChart account to participate in this class.",https://drive.google.com/file/d/1Y47c1lsocHOmIQ9WmWNNZRcacAiQioSH/view,,https://drive.google.com/file/d/1Va88yKFcop29c6wL6XRQr3fpK7AU0gR5/view,,,,,,Beginner,telehealth,class
Take Charge with MyChart: Test Results & Messaging,"Learn how you can use MyChart to access your medical information online in this hands-on telehealth class! Topics covered will include: navigating MyChart, viewing test results & summaries, completing questionnaires, and messaging your care provider.
You do not need a MyChart account to participate in this class.",https://drive.google.com/file/d/19ACGQnNjKcNirsuZ8nZ3j-m-XKWBHY_Z/view,,https://drive.google.com/file/d/1lFyPI5EAkvM60j8R6weeHJ5bmRYD0m4X/view,,,,,,Beginner,telehealth,class
Take Charge with MyChart: Virtual Visits,"Learn how you can use MyChart to access your medical information online in this hands-on telehealth class! Topics covered will include: navigating MyChart, eCheck-In and virtual doctor’s visits, scheduling appointments, and finding a new care provider.
You do not need a MyChart account to participate in this class.",https://drive.google.com/file/d/1AYSSoD2ojgUYrCMnasfdvD2s4thRUqFv/view,,https://drive.google.com/file/d/11Li_eCHFLRzMqhz4Ors_FMmrri8Qsw9W/view,,,,,,Beginner,telehealth,class
Time Management & Productivity in Excel,Learn to use Excel to create tools for productivity and task management. This class requires a beginner knowledge of Microsoft Excel.,,,,,,,,Microsoft Excel for Beginners,Beginner,"microsoft office, office software, microsoft excel",workshop
Tracking Expenses in Microsoft Excel (Excel Genius Bonus Class),"This class applies knowledge from Class 1 and 2 towards tracking expenses and managing personal finance. Topics include SUMIF/AVERAGEIF/COUNTIF and SUMIFS/AVERAGEIFS/COUNTIFS. This class is part of our Excel Genius class series. To learn more, visit: bit.ly/3KBj04g",,,,,,,https://drive.google.com/file/d/1MHYJQ1mZb-OTLRFkZp_oxAcYclJAcR-9/view,Excel Genius Class 2: Conditional Stat Functions,Intermediate,"microsoft office, office software, microsoft excel",workshop
Twine Part 1: Interactive Fiction Basics,"Learn to create simple choice-based games in Twine! Topics include narrative strategies, how to use the flowchart editor, and uploading your game for others to play.",,,,,,,,,Beginner,"twine, game development",class
Twine Part 2: Harlowe Fundamentals,"Add more advanced functionality to your Twine games using the Harlowe story format. Keep track of information throughout your story using variables and if statements, then test using Twine's debugging features.",,,,,,,,Twine Part 1: Interactive Fiction Basics,Intermediate,"twine, game development",class
Video Editing with Premiere Rush for iPads,"Premiere Rush is a free video creation software available on mobile and desktop devices. Learn how to navigate the iPad and iPhone version of this software software and get started making your own videos with this beginner-friendly video editing software. This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,,Beginner,"studio40, ipad, iphone, video editing, adobe premiere, media production",class
Vote Smarter: Ranked Choice Voting,"Beginning in 2021, New York City voters will use Ranked Choice Voting in special and primary elections for local offices such as mayor, public advocate, comptroller, borough president, and City Council. Voters will be able to rank up to 5 candidates in order of preference, instead of choosing just one. 
 
Please join us to learn more about trusted resources you can use to research the ranked choice voting process and the candidates on your ballot.",,,,,,,,,Beginner,civics,class
Web Scraping with Python Part 1,Learn how to use the Python programming language to extract data from websites using the Beautiful Soup and Requests libraries.,,,,,,,,Python Container Datatypes,Advanced,"python, programming, web development",class
Web Scraping with Python Part 2,Continue learning how to extract data from a web page using Python. This class covers how to get around some of the defenses that websites put up to stop us from web scraping. Topics covered include changing the “user-agent” request header and using Selenium to automate browser interactions.,https://colab.research.google.com/drive/1_HRK54n9d7FFQKFvWJMJfE61dwl65hqC?usp=drive_link,,,,,,,Web Scraping with Python Part 1,Advanced,"python, programming, web development",class
Windows Basics,Learn the fundamentals of using a Windows computer. Participants will learn how to navigate the Windows operating system and how to use Windows computers effectively.,https://drive.google.com/file/d/18bMEuMa8tnnECp1R8LKvhxz0540AxLCm/view,,,,,,,,Beginner,computer basics,class
Working with Files in Python,Learn how to read and write to files in Python. We will also learn how to work more efficiently with CSV file using Python's CSV module.,,,,,,,,Python Container Datatypes,Intermediate,"python, programming",class
YouTube for Beginners,"Learn how to watch content, curate your channel, post videos, and comment on the video-sharing website YouTube. ",,,,,,,,,Beginner,social media,class
